标题,作者,点赞,点击,评论,收藏,点赞比（越小越好）,第 30 个百分位数,第 90 个百分位数,
非常规挺入·黏腻,Fluoriteum_zz,22,"1,222",0,0,55.54545 ,,,
小狸猫和大灰狼,mandyS00,13,773,0,0,59.46154 ,,,
和同事聚餐不小心喝醉 （完）,kokoichi,1,248,0,0,248.00000 ,,,
【彻政】君恩（abo）,yushan4407,18,872,2,3,48.44444 ,,,
【恋与深空】在临空做魔法少女的那些年,Pcnini,99,"3,282",11,10,33.15152 ,,,
非常规挺入·黏腻,Fluoriteum_zz,22,"1,222",0,0,55.54545 ,,,
愿逐月华流照君,Jiangyuehenianchuzhaoren,9,"1,283",0,0,142.55556 ,,,
龙舌兰日出,ChAchAwithz,48,"2,663",5,7,55.47917 ,,,
拙,Summerdaylight,484,"15,140",73,47,31.28099 ,,,
爱人错过,yujingzheng,4,90,0,0,22.50000 ,,,
酩酊大醉,Dougo,10,664,2,0,66.40000 ,,,
【哥梨鸦×你】动态平衡,Putaonut,24,806,2,1,33.58333 ,,,
假日旅行,tocolate,68,"3,726",4,4,54.79412 ,,,
猫捉耗子,ssssinoenyi,13,"1,124",0,0,86.46154 ,,,
谁是猎手【恋与深空】,LIULUOSU,24,"1,142",2,1,47.58333 ,,,
欢愉,sly197551,83,"4,181",5,13,50.37349 ,,,
【恋与深空】监狱,winekirkland,47,"2,602",0,0,55.36170 ,,,
【恋与深空】短打合集,BEchoAN,51,"2,304",0,1,45.17647 ,,,
【恋与深空 ALL】明天从塔顶坠落,Auaurr,123,"5,080",49,15,41.30081 ,,,
关于早起后穿了他的衣服这件事,Q_X,81,"4,699",0,1,58.01235 ,,,
【恋与深空】下流情欲（全员）,Xzwasmdd911,27,668,6,3,24.74074 ,,,
和同事聚餐不小心喝醉的你,kokoichi,2,157,0,0,78.50000 ,,,
恋与深空｜难恕,Flaustine,"1,733","41,772",87,79,24.10387 ,,,
[恋与深空]衣帽间会长出乌鸦吗？（秦你夏）,Minami87,16,"2,162",0,1,135.12500 ,,,
一般温良乙小妹,orphan_account,3,484,0,0,161.33333 ,,,
一般温良乙小妹,orphan_account,3,484,0,0,161.33333 ,,,
[恋与深空all向]生理期被误以为发情了怎么办,wxy218,35,"4,959",1,0,141.68571 ,,,
【桧构桧】挟天子,AsakaMiya,5,670,1,1,134.00000 ,,,
停氪只是我和乙游男主play的一环,TW01,41,"3,980",3,2,97.07317 ,,,
半透明侵占,aichihuojimian,212,"7,155",2,9,33.75000 ,,,
野火【1】,Lovesleep,2,73,0,0,36.50000 ,,,
【all我】情热,Qara_10,192,"6,171",10,25,32.14063 ,,,
[恋与深空]突然变成魅魔了怎么办,wxy218,420,"11,315",5,10,26.94048 ,,,
蜜月,Miraitowa_memory,113,"7,333",21,21,64.89381 ,,,
